# id	масштаб	форма
# Заполняет заход. форма: ориентир | WARN | гейт (по умолчанию у всех — ориентир)
V0365	слайд 15, блок ПРИМЕРОВ категорий: 1 слайд, 1 сцена (допустимо 2) и около 1 минуты рассказа — бюджет блока примеров, а не общая норма слайда	ориентир
V0367	слайд 16 того же дека, блок про функторы: тот же формат короткого списка укладывается в 1 слайд	ориентир
V0372	слайды 17–18, названы владельцем эталоном («вот это нормально»): полноценный текст, про который можно рассказать за 3 минуты — образец плотности ОДНОГО слайда	ориентир
V0373	РАЗРЕЗ 2, ЧАСТЬ 3 лекции: 8, возможно 9 сюжетов в части — оценка владельца вслух («ну, я примерно говорю»), не выверенный список	ориентир
V0380	вводный слайд раздела: 3 новых понятия за раз — порог перегруза для слушателя, который видит материал впервые; сказано как диагноз этому слайду, а не как норматив	ориентир
V0394	слайд «Сопоставление не продолжается до функтора»: 3 сцены на одном слайде законны ПРИ УСЛОВИИ общего заголовка — в записи важно условие, а не число	ориентир
V0395	слайд 20 того же дека (про морфизмы): ровно 3 сцены, каждая — картинка на полный экран, лежащие поверх друг друга	ориентир
V0397	слайд 20 того же дека: перечисление морфизмов даётся 1 раз, второй раз не повторять	ориентир
V0400	слайд 21: одна история про группы разворачивается итерациями (раскраски → инъекции → группы → общий случай) — это 3 экрана в пределах ОДНОГО слайда	ориентир
V0401	слайд 22 того же дека: та же история занимает 3 экрана и больше, а должна занимать 1 экран — списком	ориентир
V0403	слайд 22: упражнение выносится 1 строчкой, только формулировка, больше ничего	ориентир
V0410	РАЗРЕЗ 2, ЧАСТЬ 4 лекции: 7–8 сюжетов на часть, «сколько там у тебя было запланировано»	ориентир
V0411	РАЗРЕЗ 2, ЧАСТЬ 4: те же 7–8 сюжетов расположить на 7–8 экранах, то есть 1 сюжет = 1 экран; вторая половина реплики V0410	ориентир
V0426	лекция «Введение в теорию категорий» целиком: 2 часа, 32 слайда, 4 минуты на слайд, допустимо 3–3,5, и слайд = 1 экран. Слова владельца: «у нас довольно жёсткий тайминг» — жёсткой границу назвал он сам. Дубль V0230 пачки 1, форма согласована	WARN
V0427	та же лекция: 3,5 минуты на слайд, и отсюда следует, что слайд обязан быть ОДНИМ экраном. Дубль V0231 пачки 1	ориентир
V0428	та же лекция: 32 слайда — рамка, согласованная заранее, при этом сам дек владелец на момент разговора не смотрел; число описывает договорённость, а не выверенный состав	ориентир
V0429	та же лекция: 5 полноэкранных сцен дадут не 5 минут, а 10 — арифметика срыва тайминга при скрытых экранах. Дубль V0229 пачки 1	ориентир
V0430	та же лекция, направление сокращения после разбора: −3 слайда в части 1, −1 слайд в части 2, текст короче в 2 раза — назначено на КОНКРЕТНЫЙ дек, это не норма жанра	ориентир
V0433	не про лекцию, про добычу правок: расшифровку каждого акта делать 2 проходами разных движков со сверкой — мера надёжности расшифровки	ориентир
V0438	раздел решений владельца, дописанный аналитиком 29.07: все примеры функторов вместе — 1 слайд, короткий список	ориентир
V0439	тот же раздел решений 29.07: пункт перечня — 1 строка, комментарий к пункту — максимум 0,5 строки	ориентир
V0441	статья «Мир 2» курса про числа Каталана, §5 (цикл-лемма): требование расписать идею математически хотя бы в ОДНОМ случае вместо аналогии «похоже на». Число описывает требование к доказательству, а не норматив объёма	ориентир
V0446	та же статья, §7, абзац «на практике»: в одном абзаце описаны 2 конструкции биекции путь↔дерево, а теорема доказана только для одной. Число описывает ДЕФЕКТ, а не норму	ориентир
V0471	план лекции 1 курса «Мир 1» (числа Каталана): предположение владельца отдать одному сюжету всю первую лекцию целиком. Сказано с оговоркой «может быть»	ориентир
V0493	организация работы над курсом, не лекция: 2 задачи идут параллельно — текст курса прямо сейчас и база материалов на будущее	ориентир
V0498	терминология владельца для путей в курсе «Мир 1»: сбалансированный случай — N шагов вверх и N вниз, несбалансированный — например 7 вверх и 3 вниз. Это пример-иллюстрация термина, а не норматив	ориентир
V0502	ресёрч «бриллиантов» для курса про числа Каталана: лимит — 1 точечный и не слишком глубокий заход, после которого останавливаемся. Границу назвал владелец, но с оговоркой «может быть, стоит на этом остановиться»	ориентир
V0512	архитектура фабрики, не лекция: 1 источник истины (markdown) на ВСЕХ стадиях — интервью → растущий источник → раскадровка → финал; HTML при этом только вид	ориентир
V0526	дек курса «Числа Фибоначчи», лекция 1: канвас каждого утверждения делится на 2 стороны (верх/низ), зоны разделены фоном без подписей — раскладка ОДНОГО утверждения, а не норма слайда	ориентир
V0529	скоуп лекции 1 курса «Числа Фибоначчи» по листку задач: задачи 1–5, и владелец оговаривает «с запасом на занятие» — то есть это верх охвата, а не точная мера	ориентир
V0539	поток лекции 1 курса «Числа Фибоначчи»: выписать ВСЕ малые примеры (1,1,2,3,5 — пять значений) до гипотезы Фибоначчи; число задано материалом (значения при малых n), а не выбрано как норматив	ориентир
V0540	левая иллюстрация рекурренты в том же деке: доминошки одного размера, различие поворотом на 90°, а не сменой размера — правило ОДНОЙ картинки	ориентир
V0542	слайд s05 того же дека вместо звезды-хаба: 2 колонки — слева список объектов, справа узкая колонка примеров каждого при n=5	ориентир
V0553	курс «Наглядная геометрия» для 6 класса, порядок занятий: переставлялись занятия 2 и 3 (оптика раньше) — владелец перестановку отклонил. Числа занятий здесь адреса, а не норматив	ориентир
V0555	тот же курс: замысел сужен до 4 лекций вместо полного курса на 8 тем; лекции идут ПОСЛЕ перерыва	ориентир
V0556	тот же курс: 6 класс — уровень аудитории, и он назван ПРИЧИНОЙ выбрасывания тем (эллипсы в оптике сложны для 6 класса). Это мера зала, а не мера артефакта	ориентир
V0557	тот же курс: 1 инвариант (В−Р+Г) на весь курс, без углов и измерений — геометрия положения	ориентир
V0558	тот же курс: при сжатии — 3 лекции вместо 4, раскраски сворачиваются в лекцию 1. Названо как возможность («при желании»), а не как план	ориентир
V0560	тот же курс: 4 лекции мини-курса должны быть максимально консистентны — одна нить наращивается, а не набор тем (слова владельца)	ориентир
V0561	курс «Информация и коды»: 4 занятия вместо 5	ориентир
V0569	формат занятия того же курса — кружок: листок с большой подборкой задач, около часа с лишним самостоятельной работы плюс устная сдача, почти без теории. Лекционная раскладка отменена	ориентир
V0577	ресёрч задач, не лекция: корпус из 7 PDF, скачанный впустую, оставлен спящим, а не выброшен. Число описывает объём скачанного	ориентир
V0580	листок курса «Сколько информации», градация как в лекции 1: 4 ступени — разминка, простые, средние, «гробы». Стандарт единый НА КУРС	ориентир
V0581	листок лекции 1 того же курса, живой замер по классу: сильный школьник решил всё кроме одной, остальные в среднем 6–7 задач — владелец назвал это хорошей зоной. Мера КАЛИБРОВКИ сложности по факту занятия	ориентир
V0584	лекционная часть Л2 того же курса: 6 класс — уровень зала, и он причина требования «вести с комментарием, не пережёстить» (темы теории информации обычно дают старше)	ориентир
V0597	листок Л2: 3 роли задач, подписываемых явно — [разбор вместе], [сам], [подумать]	ориентир
V0599	занятие Л2 того же курса: открывающий рассказ около 20 минут. Оценка на планирование, до проведения занятия	ориентир
V0600	листок Л2: около 10 задач уровня листка Л1, 2 породы — «придумай способ сделать быстро» (много) и «придумай ОПТИМАЛЬНЫЙ способ» (меньше и сложнее), плюс гробы	ориентир
V0603	критерий «гроба» для листка того же курса: простое условие, решение уровня примерно 8 класса, при этом доступное 6 классу к пониманию. Числа классов — мера зала, а не артефакта	ориентир
V0607	факт, снятый ПОСЛЕ проведённого занятия: лекцию-обсуждение больше 30 минут шестиклассники не держат (дети в конце сразу убегают) → вводную резать. Порог живой, но в источнике он ПЕРЕСКАЗ аналитика, а не дословная реплика владельца — поэтому не WARN	ориентир
V0608	тот же разбор по факту занятия: каждый школьник в среднем уже слышал 2–3 задачи листка, а задачу про лампочки знали ВСЕ. Мера ИЗВЕСТНОСТИ подборки этому залу	ориентир
V0610	листок Л2 по факту занятия: 13 задач — много при 30 минутах вводной и примерно часе на решение; целить меньше числом, но свежее. Арифметика конкретного проведённого занятия	ориентир
V0612	курс «Сколько информации» целиком: около 8 занятий, тайминг гибкий — владелец сам говорит «не страшно», если завершение съедет за перерыв. Число рамочное и НЕ ограничивающее	ориентир
V0621	курс «Введение в теорию категорий» для специалистов компании (программа-дизайн, 9 лекций): 40-я минута — момент, к которому слушатель, знающий линейную алгебру, ещё должен держаться. Мера ЗАЛА, а не норматив длительности	ориентир
V0638	тот же курс: 3 области, которые НЕ тянем — комбинаторика, многочлены, начала матанализа. Число описывает список исключений из школьных опор	ориентир
V0652	одна лекция того же курса: и 1,5 часа, и 2 часа владелец называет «очень много», причём трудность ОБРАТНАЯ обычной — «не так просто придумать, что там два часа рассказывать». Число ограничивает не сверху, а снизу по материалу	ориентир
V0653	одна лекция того же курса: 40–60 сцен, около 30 слайдов, около 1 вычисления. Метрика наполнения ОДНОЙ лекции, названная владельцем на интервью	ориентир
V0655	контекст зала, не артефакт: у слушателей параллельно идёт курс по теории типов, начавшийся около 15.07, с перерывом на три недели; программу владелец готов прислать полностью	ориентир
V0662	курс из 9 лекций: разрыв примерно в 6 лекций (с третьей по девятую) — после него зал маленький сюжет забывает, и рассказать его заново законно	ориентир
V0665	экскурс внутри лекции того же курса: 20 минут на бескоординатную линейную алгебру, названо «отличным заходом, полезным для всех»	ориентир
V0666	тот же курс: 20 минут на разбор понятия, которое залу НЕ узнаваемо — доза, при которой неузнаваемое не выбрасывается, а разбирается	ориентир
V0667	не про лекцию, про канал интервью: из 12 предложенных владельцу вопросов вида «дать слайд или срезать» он не выбрал ни одного варианта, трижды переопределив сам вопрос. Замер дефекта ФОРМЫ вопроса, а не ориентир продукта	ориентир
V0672	одна лекция того же курса: 90 минут владелец называет «много»	ориентир
V0675	курс «Кривая дракона» для 6 класса: задачи раскладываются по 4 дням занятий, и раскладка делается ПОСЛЕ ресёрча, отбора и рассказа для владельца, а не до	ориентир
V0677	занятие того же курса по факту проведения, 6 класс: показ 10–12 минут ставится ФИНАЛОМ, лекция больше 30 минут не держится, но 75 минут разбора держатся, ЕСЛИ работа идёт руками. Условие «руками» здесь несущее — без него числа противоречат друг другу	ориентир
V0707	мини-листок ДОБОРА к занятию Л2 школьного курса «кривая дракона» (группа 12 школьников, 17.07): 5 лёгких задач в отдельном мини-листке, при том что основной листок Л1 дети продолжают дорешивать — число задач добора, а не норма листка	ориентир
V0738	тот же мини-листок Л2, два хода позже: владелец сам снизил 5 → 4 («пять совершенно не обязательно») — число объявлено необязательным тем же, кто его назвал	ориентир
V0760	занятие того же школьного курса, ход 17: 12 школьников в группе и проектор в классе — размер группы, при котором условие можно не печатать, а вывести на слайд; «все семь» = 7 условий задач 23–29	ориентир
V0762	тот же школьный курс, ход 18: 7 задач в формате второго листка — число ОТВЕРГНУТО владельцем, второй листок решили не делать вовсе	ориентир
V0764	последнее занятие Л4 того же школьного курса: 40–60 минут дети решают то, что уже на руках, дальше разбор и показ красивого — доля ЗАНЯТИЯ, а не длительность лекции	ориентир
V0779	публичная лекция Л1 курса «Введение в теорию категорий» (взрослый зал), интервью Ф0: основная часть 90 минут, но заранее планируется 2 часа, «потому что много вопросов, много обсуждений» — планируемая, а не номинальная длительность	ориентир
V0780	та же лекция: 90 минут номинальных; при переполнении сюжетами владелец увеличивает темп, а не режет материал	ориентир
V0782	ПЕРЕСКАЗ аналитика, слов владельца в записи нет: 30–45 слайдов на одну лекцию 90–120 минут, ≈3 минуты на слайд, у части слайдов несколько сцен внутри — счёт слайдов при нескольких сценах на слайде	ориентир
V0783	ПЕРЕСКАЗ: перерыв 10 минут в середине двухчасовой публичной лекции, «скорее делаем» — решение не окончательное	ориентир
V0802	поисковое задание ФАБРИКИ, не продукт: 8 источников и 15 задач — планки, СНЯТЫЕ владельцем; число сохраняется только как след того, что ограничение сверху отменено	ориентир
V0807	реплика «будем сидеть пока сидится» на том же интервью; 2,5 часа рядом с ней записал АНАЛИТИК, а не владелец — числа из слов владельца здесь нет	ориентир
V0858	проектирование Л1 того же курса: первые 20 минут лекции — самый сложный для проектирования кусок, работа над ним отложена; это оценка сложности участка, а не норма длительности	ориентир
V0859	разделы (пункты) внутри ОДНОЙ лекции Л1: 7 — «очень много, все забудут», 4 — «идеально»; число разделов лекции, не курса	ориентир
V0868	ПЕРЕСКАЗ траектории: дробление Л1 не на 4 части, а на ~10 самоценных десятиминутных текстов, далее ~30 кусочков, 3–4 слайда на кусок — счёт при том же общем объёме лекции 90–120 минут	ориентир
V0871	микро-история внутри Л1: несколько примеров плюс общая концепция = 1 слайд длиной около 10 минут; «слайд» здесь единица МЫСЛИ, а не экрана	ориентир
V0872	та же лекция, второй раз названная владельцем планка: 30–45 слайдов, из которых один уже зарезервирован под конкретный сюжет	ориентир
V0880	ПЕРЕСКАЗ формы РАБОЧЕГО разбора на фабрике, а не лекции: порция 5–8 групп корпуса за один ход, «не больше»	ориентир
V0882	та же лекция Л1: приём, повторённый трижды (подробно → быстро → просто назвать теорему), это «грубо один слайд, на котором может быть несколько сцен», а не три слайда	ориентир
V0883	отбор сюжетов для Л1: 21 сюжет по оценке владельца в лекцию помещается — этим снят вывод аналитика «резерва нет»	ориентир
V0893	курс теории категорий, интервью-калибровка: по антипаттерну «определение → морфизмы → парад примеров» нетривиальное утверждение возникает только к ТРЕТЬЕЙ лекции — число как обвинение антипаттерну, а не норма	ориентир
V0894	тот же курс: срок «первая лекция», к которому история с вопросом обязана появиться; сказано как «хотелось бы»	ориентир
V0895	АНОНС курса, а не лекция: формулировка задачи, которую можно написать за две минуты и которую поймёт любой человек — мерка анонса	ориентир
V0897	тот же анонс: ноль упоминаний слова «категории» при том, что курс именно про них; сказано как «я хочу»	ориентир
V0902	внутри Л1: граница «вторая половина первой лекции», после которой внутрикатегорная мотивация законна — и только при условии, что до неё категории мотивированы самостоятельно	ориентир
V0915	банк примеров на ЧЕТЫРЕ лекции курса: десятки — ограничение снизу, целевое «несколько сотен»; это объём БАНКА, а не число примеров в лекции	ориентир
V0923	частота упражнений: каждая лекция курса; сказано как «мне кажется… довольно очевидно», а не как жёсткое условие	ориентир
V0930	внешняя рамка курса: было 9 лекций на не очень большую программу, заказчик попросил 4 или даже 3 на очень большую — сжатие пришло извне, а не выбрано владельцем	ориентир
V0932	слабый слушатель курса: втрое больше времени на пересмотр видео и слайдов — мерка нагрузки на СЛУШАТЕЛЯ, не на лекцию	ориентир
V0935	одна вершина на лекцию, распределять можно неравномерно; рядом в том же источнике названы «условно шесть часов и больше» на курс и двухчасовые лекции	ориентир
V0949	листок упражнений к каждой лекции ВЗРОСЛОГО курса: 15–20 упражнений — ср. V0707, где школьный мини-листок это 5 задач: одна и та же величина в двух разных мирах	ориентир
V0957	требование к КРИТЕРИЯМ ОТБОРА, а не к продукту: критерии должны иметь числовую норму, «чтобы по ним можно было прогонять сюжеты» — слова про способ прогона (машинный или ручной) в источнике нет, убрано по находке верификатора	ориентир
V0973	линии курса: порог «три линии» ОТВЕРГНУТ владельцем, «линий должно быть не три, а очень много»	ориентир
V0976	горизонт всего блока: четыре лекции, примерно 6 часов, от 6 до 8 часов	ориентир
V0979	уровень доступности ИСКОМЫХ ТЕКСТОВ: первокурсник — планка сложности источника, а не планка зала	ориентир
V1001	архитектура Л1 (гипотеза владельца): пять вопросов-миниарок, по 10–15 минут каждый, при лекции 90 минут	ориентир
V1006	та же Л1: из 90 минут 88 на подробное объяснение примеров, термин произносится впервые в конце — числа названы, чтобы показать пропорцию, а не отмерить норму	ориентир
V1013	один сюжет курса может растянуться на два часа, то есть на целую лекцию; поэтому бюджет обсуждается аккуратно	ориентир
V1016	граница блока: первые примерно 4 лекции прошлого плана плюс функторы, естественные преобразования, эквивалентности	ориентир
V1025	тот же блок девять дней позже: три лекции, четвёртая — «не при желании, а с некоторой проблемой, если не будем успевать»	ориентир
V1029	владелец ОТВЕРГАЕТ минуты как единицу объёма («в минутах всегда неправильно получается: когда мы с тобой считаем, всегда по-разному») и предлагает мерить числом теорем и материалом — это анти-ориентир, то есть прямой довод против гейта по минутам	ориентир
V1030	карта курса-введения объёмом шесть часов: что в нём вообще есть, а чего нет	ориентир
